Tag	Type	ID	TPRX2P	LHX8	FOXQ1	PAX9	EGR2	ELK3	ETV5	FOXI1	KLF3	LHX4	ETV4	TLX3	PAX2	SOX10	PAX7	SP7	KLF12	HOXB2	ERG	ETS1	VSX1	GCM1	HNF1B	PAX6	IRF9	TBXT	FOXJ2	TBX21
TCGA-DU-7009-01	Central Nervous	TCGA-DU-7009-01	-9.9658	-6.5064	-2.4659	-3.8160	1.7403	2.4934	2.9375	-9.9658	4.5928	-1.7809	-2.1779	-9.9658	-6.5064	4.5856	-1.8836	-2.3884	3.8198	-4.6082	1.5661	5.6982	-0.7588	-6.5064	-5.5735	4.4771	6.3655	-9.9658	3.3856	-5.5735
TCGA-TQ-A7RG-01	Central Nervous	TCGA-TQ-A7RG-01	-9.9658	-2.3884	-2.3884	-2.7274	3.5136	2.6185	6.1004	-5.5735	4.3169	-0.7346	5.4053	-9.9658	-6.5064	3.9728	-9.9658	-4.0350	3.9070	-0.9406	1.1897	4.9308	-1.0862	-9.9658	-4.6082	3.9431	6.6702	-4.2934	3.4048	-3.0469
TCGA-S9-A89V-01	Central Nervous	TCGA-S9-A89V-01	-9.9658	-9.9658	-1.2481	-5.5735	3.6417	4.4602	5.8951	-5.5735	5.3445	-0.2845	0.6608	-0.4325	-0.7346	8.4860	-9.9658	-3.4580	4.1780	4.4842	1.6281	4.7415	2.9875	-6.5064	-6.5064	5.7129	5.9016	-9.9658	3.9185	-0.7346
TCGA-RY-A83Z-01	Central Nervous	TCGA-RY-A83Z-01	-9.9658	-9.9658	-2.7274	-1.4305	0.3907	1.1382	1.7316	-9.9658	2.8341	-3.0469	-1.5105	-1.7809	-5.0116	1.6558	-4.6082	-2.8262	2.1734	-1.4699	-0.6643	2.7292	-4.2934	-5.5735	-3.3076	3.2405	5.9908	-3.8160	3.3605	-3.1714
TCGA-P5-A5F4-01	Central Nervous	TCGA-P5-A5F4-01	-9.9658	-9.9658	1.0007	-3.4580	2.5561	2.1411	3.8915	-9.9658	3.7116	-1.8314	0.8164	-9.9658	-1.3921	3.8857	-0.9406	-3.6259	2.5852	-2.7274	1.7316	3.1701	-1.5951	-6.5064	-5.0116	4.9635	5.3227	-9.9658	3.2343	-3.0469
TCGA-FG-A711-01	Central Nervous	TCGA-FG-A711-01	-9.9658	-9.9658	-1.9379	-3.8160	0.1648	2.5462	2.9469	-6.5064	3.8259	-2.6349	-0.6643	-9.9658	-4.0350	2.7444	-3.8160	-4.0350	2.3164	-3.6259	0.5955	2.7763	-3.4580	-9.9658	-3.6259	4.4693	6.0955	-5.5735	2.8137	-4.0350
TCGA-VM-A8CD-01	Central Nervous	TCGA-VM-A8CD-01	-9.9658	-9.9658	-0.7108	-5.0116	3.4817	4.8827	5.5717	-9.9658	3.8167	-1.7809	4.2980	-9.9658	-6.5064	4.3435	-3.4580	-5.0116	2.0500	-1.9379	1.5366	2.9765	-0.5332	-9.9658	-5.5735	4.8395	7.5700	-5.0116	2.8955	-3.0469
TCGA-HT-7880-01	Central Nervous	TCGA-HT-7880-01	-9.9658	-9.9658	-1.1811	-3.6259	1.2209	2.0912	4.4330	-9.9658	3.4504	-1.6850	0.6880	-9.9658	-3.1714	5.8751	-0.3566	-3.4580	2.1247	-4.6082	1.8160	3.1733	0.6699	-6.5064	-5.0116	4.8319	5.3413	-4.6082	2.6873	-2.6349
TCGA-HT-A74J-01	Central Nervous	TCGA-HT-A74J-01	-9.9658	-9.9658	0.4125	-4.6082	3.8866	2.8055	3.0757	-9.9658	3.8690	-1.4699	-0.1993	-9.9658	-2.6349	3.6894	-2.7274	-2.1140	2.3898	-1.2142	1.0222	2.8055	-2.3147	-5.0116	-4.0350	5.3187	6.8252	-6.5064	3.0654	-5.5735
TCGA-RY-A840-01	Central Nervous	TCGA-RY-A840-01	-9.9658	-4.6082	-2.0529	-5.5735	-0.8599	1.1316	1.2394	-9.9658	3.8769	-2.9324	-2.8262	-9.9658	-5.5735	0.2522	-9.9658	-2.3147	2.4332	-3.1714	0.5069	4.2488	-4.0350	-9.9658	-6.5064	3.6928	5.6020	-9.9658	2.8858	-3.6259
TCGA-TM-A84R-01	Central Nervous	TCGA-TM-A84R-01	-9.9658	-9.9658	0.1388	-3.4580	0.5370	1.9675	4.7767	-6.5064	3.7667	-1.6394	1.2023	-9.9658	-2.9324	4.8665	-0.0725	-1.9942	2.5972	-3.6259	1.4281	3.0376	0.6608	-9.9658	-4.0350	4.5161	5.5868	-4.6082	3.2112	-4.0350
TCGA-DU-6403-01	Central Nervous	TCGA-DU-6403-01	-9.9658	-9.9658	-1.1811	-2.6349	2.1047	3.5047	5.2817	-4.0350	4.4990	0.8164	4.6177	-9.9658	-4.0350	8.6539	-2.8262	-2.4659	3.7378	5.0126	1.9149	4.3039	0.5859	-6.5064	-6.5064	3.8788	6.4648	-9.9658	2.7183	-0.7834
TCGA-HT-7471-01	Central Nervous	TCGA-HT-7471-01	-9.9658	-5.5735	-2.1140	-2.7274	-0.1031	2.6487	5.3194	-9.9658	4.4443	-0.7834	3.2707	-9.9658	-6.5064	2.0360	-3.3076	-1.5522	3.4264	-1.8314	2.4649	5.6829	-2.1140	-5.5735	-9.9658	4.8958	8.8056	-6.5064	3.7072	-2.0529
TCGA-DB-A4XA-01	Central Nervous	TCGA-DB-A4XA-01	-9.9658	-9.9658	1.0573	-4.0350	0.4125	2.5011	5.6899	-9.9658	3.4881	-2.4659	4.1684	-9.9658	-9.9658	4.5540	-3.4580	-2.8262	2.4252	-1.7322	1.6140	4.7143	0.3796	-9.9658	-6.5064	4.0198	6.0753	-9.9658	2.6940	-2.9324
TCGA-TM-A7CA-01	Central Nervous	TCGA-TM-A7CA-01	-9.9658	-5.5735	-1.8314	-3.0469	0.9419	1.9452	3.0550	-5.5735	3.7226	-1.2828	-0.9132	-4.2934	-2.1779	3.9992	-3.8160	-2.4659	3.5411	-2.7274	0.8327	3.9783	0.4340	-9.9658	-1.3183	4.5808	6.2799	-5.5735	3.5510	-3.6259
TCGA-DU-6393-01	Central Nervous	TCGA-DU-6393-01	-9.9658	-6.5064	-1.0862	-2.6349	0.7664	1.8604	6.5987	-9.9658	4.4509	-1.0262	5.5988	-9.9658	-4.0350	2.9319	-4.2934	-0.9132	3.9746	-3.0469	1.8683	5.9734	-1.8836	-5.5735	-4.6082	4.0593	6.7255	-9.9658	4.1506	-2.0529
TCGA-HT-7694-01	Central Nervous	TCGA-HT-7694-01	-9.9658	-9.9658	-0.8339	-3.8160	1.0363	1.6875	5.2836	-5.0116	3.9299	-1.9942	4.7830	-9.9658	-3.1714	5.5940	0.2277	-1.9379	3.0340	-5.5735	1.9264	3.7335	1.4120	-9.9658	-5.0116	5.0041	6.1056	-6.5064	3.0056	-4.6082
TCGA-HT-7485-01	Central Nervous	TCGA-HT-7485-01	-9.9658	-9.9658	-0.3022	-3.8160	0.4340	2.6918	3.3032	-9.9658	4.6537	-2.5479	-1.6394	-9.9658	-9.9658	4.7798	-4.0350	-4.0350	3.3979	-1.3548	0.5955	2.8482	-2.2447	-9.9658	-5.0116	6.8071	6.2130	-6.5064	2.9319	-3.4580
TCGA-CS-5397-01	Central Nervous	TCGA-CS-5397-01	-9.9658	-9.9658	-2.3147	-6.5064	3.6928	4.3242	5.6047	-9.9658	4.1285	-2.1779	4.5079	-9.9658	-3.3076	4.9978	-2.6349	-2.2447	3.2220	1.3167	1.6558	3.4020	0.7832	-9.9658	-5.0116	5.6946	5.8212	-4.6082	3.4251	-4.2934
