Tag	Type	ID	TPRX2P	LHX8	FOXQ1	PAX9	EGR2	ELK3	ETV5	FOXI1	KLF3	LHX4	ETV4	TLX3	PAX2	SOX10	PAX7	SP7	KLF12	HOXB2	ERG	ETS1	VSX1	GCM1	HNF1B	PAX6	IRF9	TBXT	FOXJ2	TBX21
TCGA-OR-A5K3-01	Endocrine	TCGA-OR-A5K3-01	-9.9658	-9.9658	-9.9658	-4.6082	-4.2934	-0.1504	1.3283	-9.9658	3.1011	-4.6082	-4.0350	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-1.3548	-0.7588	0.1903	-9.9658	-9.9658	-5.0116	-2.3884	4.4887	-9.9658	0.8488	-6.5064
TCGA-OR-A5JF-01	Endocrine	TCGA-OR-A5JF-01	-9.9658	-9.9658	-6.5064	-3.6259	-0.7108	3.0110	4.3148	-9.9658	3.7204	-2.6349	2.6302	-4.0350	-9.9658	-9.9658	-5.0116	-9.9658	-1.7809	4.4667	0.7579	2.0912	-0.8863	-6.5064	-9.9658	-1.2142	4.5442	-5.5735	2.1702	-4.2934
TCGA-OR-A5LK-01	Endocrine	TCGA-OR-A5LK-01	-9.9658	-9.9658	-9.9658	-0.2159	-0.5125	1.8201	1.4065	-9.9658	1.6740	-4.0350	-4.6082	-3.3076	-2.6349	-9.9658	-9.9658	-6.5064	-2.0529	3.0859	0.2154	2.0946	-9.9658	-4.6082	-9.9658	-2.8262	3.8269	-9.9658	1.5366	-2.5479
TCGA-OR-A5K1-01	Endocrine	TCGA-OR-A5K1-01	-9.9658	-9.9658	-9.9658	-3.3076	-2.3147	3.5224	1.8201	-3.6259	2.9525	-3.6259	-2.5479	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.1345	0.5568	1.9895	3.5523	-9.9658	-9.9658	-9.9658	-1.2828	4.5473	-9.9658	2.3981	-2.1140
TCGA-PK-A5HA-01	Endocrine	TCGA-PK-A5HA-01	-9.9658	-9.9658	-9.9658	-5.5735	-1.3183	1.7786	3.3549	-9.9658	3.0217	-2.9324	-3.3076	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-0.9971	0.8883	0.7321	3.0859	-5.5735	-6.5064	-6.5064	-2.3147	4.2196	-9.9658	2.5707	-1.8314
TCGA-OR-A5LN-01	Endocrine	TCGA-OR-A5LN-01	-9.9658	-9.9658	-9.9658	-6.5064	-1.8836	1.0433	2.4008	-9.9658	1.4174	-5.0116	-3.4580	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	1.9601	-0.0277	1.3225	-9.9658	-6.5064	-6.5064	-2.2447	3.9156	-9.9658	0.9568	-2.1140
TCGA-OR-A5L8-01	Endocrine	TCGA-OR-A5L8-01	-9.9658	-9.9658	-9.9658	-2.7274	-2.9324	4.1772	6.0319	-9.9658	4.8660	-1.9942	4.5405	-9.9658	-4.6082	-9.9658	-9.9658	-5.0116	0.8961	-1.0559	0.5370	2.3135	-2.3147	-6.5064	-6.5064	-0.5332	5.5714	-9.9658	3.0446	-4.6082
TCGA-OR-A5JT-01	Endocrine	TCGA-OR-A5JT-01	-9.9658	-6.5064	-9.9658	0.8164	-1.1488	3.2481	2.9090	-5.5735	3.5249	-1.9942	-3.0469	-4.2934	-4.2934	-6.5064	-9.9658	-9.9658	0.6425	-0.7588	1.1184	3.3336	-9.9658	-6.5064	-9.9658	-1.0862	4.8605	-9.9658	3.1458	-4.0350
TCGA-OR-A5LC-01	Endocrine	TCGA-OR-A5LC-01	-9.9658	-9.9658	-9.9658	-9.9658	-0.9406	2.2663	5.1169	-9.9658	3.6219	-2.6349	3.5669	-9.9658	-9.9658	-9.9658	-9.9658	-3.8160	-2.5479	5.2103	0.5170	2.8240	-9.9658	-6.5064	-9.9658	-1.5105	7.4031	-9.9658	2.7029	-3.8160
TCGA-OR-A5JM-01	Endocrine	TCGA-OR-A5JM-01	-9.9658	-9.9658	-9.9658	-9.9658	-0.6873	1.3283	5.9789	-9.9658	4.5417	-0.4921	6.1607	-9.9658	-3.6259	-9.9658	-9.9658	1.6785	1.4808	3.1212	-0.3383	1.0222	-6.5064	-4.2934	-6.5064	1.3340	5.4874	-9.9658	3.2405	-6.5064
TCGA-OR-A5K5-01	Endocrine	TCGA-OR-A5K5-01	-9.9658	-9.9658	-9.9658	-9.9658	-1.6394	2.1862	7.1636	-9.9658	3.7193	-0.5125	4.1458	-5.5735	-2.1140	-9.9658	-9.9658	-5.0116	-3.0469	-0.4325	-0.6416	1.0847	-9.9658	-9.9658	-5.5735	1.2815	5.6534	-5.0116	2.2842	-5.5735
TCGA-OR-A5JA-01	Endocrine	TCGA-OR-A5JA-01	-4.6082	-9.9658	-9.9658	-3.3076	-1.2481	1.2394	3.4713	-9.9658	3.9974	-5.5735	2.1313	1.5950	-3.1714	-9.9658	-9.9658	-5.5735	-0.4325	3.1781	0.4233	2.3135	-5.5735	-1.8314	-6.5064	-1.8836	5.3995	-9.9658	3.2158	-9.9658
TCGA-OR-A5LS-01	Endocrine	TCGA-OR-A5LS-01	-9.9658	-9.9658	-5.5735	-3.6259	-3.8160	3.0287	5.1704	-9.9658	4.1740	-1.5105	4.1368	-5.0116	-1.6394	-9.9658	-5.5735	-3.6259	-3.1714	4.8635	1.0983	3.4752	-3.4580	-9.9658	-9.9658	-1.4699	7.7602	-4.6082	2.4597	-4.6082
TCGA-OR-A5J5-01	Endocrine	TCGA-OR-A5J5-01	-9.9658	-9.9658	-6.5064	-3.8160	-2.8262	0.1776	1.8879	-9.9658	1.6281	-5.5735	2.1013	3.0808	-0.8339	-9.9658	-9.9658	-6.5064	-3.0469	-0.5973	-0.3022	1.0983	-9.9658	-4.0350	-6.5064	-1.6394	5.4709	-4.2934	1.4120	-3.6259
TCGA-OR-A5JK-01	Endocrine	TCGA-OR-A5JK-01	-9.9658	-9.9658	-6.5064	-9.9658	0.0718	1.0711	2.8897	-6.5064	2.5610	-4.2934	-1.3921	-3.8160	-9.9658	-9.9658	-9.9658	-5.5735	-2.3884	3.5111	0.6608	2.4623	-0.9132	-5.0116	-9.9658	-2.2447	5.9074	-9.9658	1.4652	-1.4305
TCGA-OR-A5JL-01	Endocrine	TCGA-OR-A5JL-01	-9.9658	-9.9658	-9.9658	-2.8262	-0.7588	2.3366	3.7699	-9.9658	4.7263	-4.2934	2.1213	-4.2934	-9.9658	-9.9658	-9.9658	-6.5064	-1.2481	0.3231	1.6093	3.4318	-3.8160	-3.0469	-9.9658	-0.6416	5.5877	-9.9658	1.8564	-3.4580
TCGA-OR-A5LG-01	Endocrine	TCGA-OR-A5LG-01	-9.9658	-9.9658	-6.5064	-6.5064	-2.7274	0.9115	5.0453	-9.9658	3.4856	-4.0350	2.2573	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	0.5763	-0.2328	1.2147	-0.7834	-9.9658	-9.9658	-1.6850	5.5952	-9.9658	1.3791	-2.8262
TCGA-OR-A5JW-01	Endocrine	TCGA-OR-A5JW-01	-9.9658	-9.9658	-9.9658	-5.0116	0.3460	3.2049	4.5946	-9.9658	4.1931	-3.1714	2.3564	-3.4580	-4.0350	-9.9658	-9.9658	-9.9658	-2.1140	3.9865	1.3397	2.8482	-6.5064	-3.6259	-9.9658	-1.5105	6.3764	-9.9658	3.0498	-3.8160
TCGA-P6-A5OG-01	Endocrine	TCGA-P6-A5OG-01	-9.9658	-9.9658	-3.6259	3.9663	2.9205	5.3817	4.1555	-9.9658	3.2343	-2.7274	3.1228	-9.9658	-9.9658	-2.6349	-9.9658	-5.0116	0.8647	2.0430	2.9729	5.7772	-9.9658	-4.6082	-9.9658	2.9784	6.0106	-9.9658	2.2693	0.5271
TCGA-OR-A5KZ-01	Endocrine	TCGA-OR-A5KZ-01	-9.9658	-9.9658	-9.9658	-4.6082	-1.0862	3.0637	4.6416	-9.9658	4.2412	-2.6349	0.4657	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.3383	3.8289	2.1509	4.0322	-3.6259	-3.1714	-5.5735	-1.3183	4.7986	-9.9658	2.9802	-2.6349
TCGA-OR-A5J1-01	Endocrine	TCGA-OR-A5J1-01	-9.9658	-9.9658	-3.0469	-3.0469	-0.6193	1.0151	4.2189	-9.9658	3.7400	-2.7274	-0.7588	-9.9658	-3.8160	-2.3884	-1.8836	-9.9658	0.3796	4.0348	0.2522	2.3193	-9.9658	-6.5064	-3.3076	3.0533	5.1942	-9.9658	1.9564	-2.9324
TCGA-OR-A5L4-01	Endocrine	TCGA-OR-A5L4-01	-9.9658	-9.9658	-9.9658	-3.8160	-4.6082	2.4908	3.4490	-9.9658	3.2267	-6.5064	-0.6643	-9.9658	-6.5064	-9.9658	-9.9658	-9.9658	-0.9406	3.6983	1.7702	3.3379	-9.9658	-2.7274	-9.9658	-2.3147	3.7593	-9.9658	2.2813	-3.4580
TCGA-OR-A5JD-01	Endocrine	TCGA-OR-A5JD-01	-9.9658	-9.9658	-9.9658	-5.0116	2.4412	2.0004	3.0961	-9.9658	2.2051	-4.2934	0.5763	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.7809	3.3521	0.0014	2.3164	-4.6082	-9.9658	-9.9658	-2.4659	2.7465	-9.9658	1.7403	-2.3147
TCGA-PA-A5YG-01	Endocrine	TCGA-PA-A5YG-01	-9.9658	-6.5064	-9.9658	-1.1811	3.4183	3.1360	4.0091	-5.5735	2.9525	-5.0116	-3.1714	-9.9658	-9.9658	-1.4699	-9.9658	-9.9658	-0.2159	3.7496	1.2934	3.5237	-5.5735	-5.5735	-9.9658	-1.2142	4.2921	-9.9658	2.1798	-1.6850
TCGA-OR-A5L6-01	Endocrine	TCGA-OR-A5L6-01	-9.9658	-9.9658	-9.9658	-5.5735	-2.4659	1.9226	2.9167	-9.9658	2.3732	-6.5064	-3.8160	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-1.4699	2.4883	0.5069	2.1957	-0.8599	-9.9658	-9.9658	-2.6349	5.0892	-9.9658	1.7403	-3.1714
TCGA-OR-A5K6-01	Endocrine	TCGA-OR-A5K6-01	-9.9658	-9.9658	-9.9658	-4.2934	1.6466	1.9377	5.7198	-9.9658	4.1078	-5.0116	3.4384	-9.9658	-6.5064	-9.9658	-9.9658	-5.5735	-3.1714	4.5934	0.2400	1.8119	-4.2934	-5.5735	-9.9658	-1.9379	5.8332	-9.9658	2.1670	-4.6082
TCGA-OR-A5JY-01	Endocrine	TCGA-OR-A5JY-01	-9.9658	-9.9658	-9.9658	-5.5735	-1.3921	1.3511	6.0288	-9.9658	5.1752	-0.4719	3.0234	-9.9658	0.7058	-9.9658	-3.4580	-5.0116	-0.3022	3.8886	0.9789	2.5634	-5.5735	-3.4580	-3.6259	-1.2142	6.5558	-9.9658	3.1733	-3.1714
TCGA-OR-A5JJ-01	Endocrine	TCGA-OR-A5JJ-01	-9.9658	-9.9658	-9.9658	-3.6259	-1.1488	1.5216	4.6776	-9.9658	3.9737	-1.8836	3.8866	-3.4580	-5.5735	-9.9658	-9.9658	-6.5064	-2.4659	3.8461	0.4340	1.8918	-9.9658	-5.5735	-6.5064	1.9034	7.2759	-6.5064	2.6533	-2.9324
TCGA-OR-A5L5-01	Endocrine	TCGA-OR-A5L5-01	-5.5735	-9.9658	-6.5064	-2.3147	-0.9132	2.8819	2.9710	-5.0116	2.5756	-3.1714	-0.3940	-9.9658	-5.5735	-4.6082	-9.9658	-9.9658	-0.4921	4.0037	1.0007	2.6208	-3.6259	-6.5064	-9.9658	-1.3548	5.7843	-9.9658	1.9302	-1.1811
TCGA-OR-A5JI-01	Endocrine	TCGA-OR-A5JI-01	-9.9658	-9.9658	-9.9658	-4.0350	-2.2447	2.7508	1.1512	-9.9658	1.7532	-5.5735	-3.6259	-6.5064	-3.8160	-5.0116	-9.9658	-2.9324	-1.6394	1.2636	0.6969	2.7073	-6.5064	-9.9658	-9.9658	-2.2447	4.4647	-9.9658	0.6239	-2.2447
TCGA-OR-A5J2-01	Endocrine	TCGA-OR-A5J2-01	-9.9658	-9.9658	-9.9658	-5.0116	0.8961	3.1458	6.9728	-9.9658	5.0184	-1.5105	4.5723	-3.4580	-2.9324	-5.0116	-4.6082	-5.0116	0.0300	4.3009	2.3816	3.8320	-2.9324	-5.0116	-5.5735	4.4317	5.1027	-9.9658	3.8501	-3.6259
TCGA-OR-A5LL-01	Endocrine	TCGA-OR-A5LL-01	-9.9658	-9.9658	-5.5735	-3.4580	-2.2447	3.2541	5.0640	-9.9658	4.9732	-1.8836	2.0325	-9.9658	-9.9658	-9.9658	-6.5064	-4.6082	-3.0469	4.9227	-0.0574	1.4652	-1.5522	-2.1140	-9.9658	-1.3548	5.2980	-9.9658	2.7379	-3.6259
TCGA-OR-A5JE-01	Endocrine	TCGA-OR-A5JE-01	-9.9658	-9.9658	-9.9658	-5.5735	-0.2498	1.2455	4.5280	-9.9658	2.8158	-4.6082	2.9948	-5.5735	-5.0116	-9.9658	0.4125	-9.9658	-3.3076	0.5470	0.5666	1.5902	-4.0350	-5.5735	-4.6082	1.1833	7.0207	-9.9658	1.4011	-5.5735
TCGA-OR-A5K8-01	Endocrine	TCGA-OR-A5K8-01	-9.9658	-9.9658	-9.9658	-9.9658	-1.4699	1.5013	2.5828	-9.9658	2.3135	-5.0116	1.3846	-2.3884	-6.5064	-9.9658	-9.9658	-9.9658	-1.0262	-1.2481	-0.7108	1.0847	-9.9658	-9.9658	-9.9658	-2.2447	5.0282	-9.9658	1.7702	-9.9658
TCGA-OR-A5LE-01	Endocrine	TCGA-OR-A5LE-01	-9.9658	-9.9658	-9.9658	-6.5064	-2.4659	0.2762	4.7851	-9.9658	4.2929	-2.6349	3.9974	-9.9658	-4.2934	-9.9658	-5.5735	-4.2934	-0.3201	0.0718	0.4016	1.3167	-3.8160	-3.1714	-9.9658	0.1124	6.4459	-9.9658	2.4908	-5.0116
TCGA-OR-A5K4-01	Endocrine	TCGA-OR-A5K4-01	-9.9658	-9.9658	-9.9658	1.8404	-3.1714	3.5971	2.2842	-9.9658	4.1128	-2.4659	-5.5735	-2.9324	-3.0469	-9.9658	-9.9658	-9.9658	1.1250	4.0867	-0.3383	2.6828	-9.9658	-9.9658	-9.9658	-0.8084	6.1094	-9.9658	3.7888	-5.0116
TCGA-OR-A5JQ-01	Endocrine	TCGA-OR-A5JQ-01	-9.9658	-9.9658	-9.9658	-5.0116	-0.2159	3.7825	5.0888	-9.9658	3.2220	-5.0116	-1.1172	-5.0116	-9.9658	-9.9658	-9.9658	-5.5735	-0.6643	3.3264	1.2394	3.3407	-1.9379	-5.5735	-9.9658	-1.3183	4.5466	-9.9658	2.2633	-1.3921
TCGA-OR-A5JR-01	Endocrine	TCGA-OR-A5JR-01	-5.0116	-9.9658	-9.9658	-4.2934	0.5568	2.7465	2.3222	-1.8314	3.6669	-2.7274	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.2762	-0.8863	1.0503	2.9710	-0.4521	-9.9658	-6.5064	-0.9686	3.7930	-9.9658	2.3536	-2.3147
TCGA-OR-A5JV-01	Endocrine	TCGA-OR-A5JV-01	-9.9658	-9.9658	-6.5064	-5.5735	0.9191	2.7784	3.7259	-9.9658	4.3751	-2.8262	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6416	0.2642	1.1447	3.5149	1.0711	-9.9658	-9.9658	-2.4659	5.3027	-9.9658	2.4623	-2.1140
TCGA-OR-A5JO-01	Endocrine	TCGA-OR-A5JO-01	-9.9658	-9.9658	-9.9658	-3.3076	0.4233	3.9204	2.7551	0.3573	3.5149	-5.0116	-1.2142	-9.9658	-9.9658	-4.6082	-9.9658	-4.6082	0.9789	2.0844	2.3251	4.8510	-1.4305	-6.5064	-9.9658	-1.5951	6.1483	-9.9658	2.4117	0.3685
TCGA-OR-A5LH-01	Endocrine	TCGA-OR-A5LH-01	-9.9658	-9.9658	-6.5064	-2.1140	1.6466	2.3953	2.3048	-6.5064	4.2654	-4.2934	-2.0529	-2.2447	-3.8160	-9.9658	-9.9658	-9.9658	-0.8339	3.7226	0.8082	2.7073	-0.7346	-6.5064	-9.9658	-0.3752	6.2011	-5.0116	2.3308	-2.3884
TCGA-OR-A5K9-01	Endocrine	TCGA-OR-A5K9-01	-9.9658	-6.5064	-9.9658	-9.9658	-3.0469	1.7575	4.4503	-9.9658	4.3263	-3.6259	2.4908	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-4.0350	0.2154	-0.6643	1.6187	-9.9658	-5.5735	-9.9658	-1.2142	6.0926	-9.9658	2.6783	-9.9658
TCGA-OR-A5JS-01	Endocrine	TCGA-OR-A5JS-01	-9.9658	-9.9658	-9.9658	-4.0350	-0.1993	2.7487	6.4196	-9.9658	4.2921	-1.7322	4.5916	-9.9658	-3.8160	-9.9658	-9.9658	-5.5735	-1.3183	1.1833	0.5370	2.2990	-9.9658	-6.5064	-5.5735	0.6050	5.8151	-9.9658	2.8622	-3.3076
TCGA-OR-A5JX-01	Endocrine	TCGA-OR-A5JX-01	-9.9658	-9.9658	-9.9658	-3.8160	-1.8836	2.1766	3.5022	-9.9658	2.7826	-4.0350	1.6327	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-0.6643	4.2751	0.3231	1.5115	-0.0277	-4.2934	-9.9658	-1.4699	4.2235	-5.0116	2.0395	-4.2934
TCGA-OR-A5KU-01	Endocrine	TCGA-OR-A5KU-01	-9.9658	-9.9658	-5.5735	-3.6259	-2.1779	2.6895	4.3449	-9.9658	3.1876	-4.6082	0.2998	-4.2934	-0.8599	-9.9658	-9.9658	-5.5735	-4.6082	1.0151	-0.2328	0.7493	-9.9658	-5.0116	-9.9658	-1.3183	6.1096	-9.9658	2.8096	-4.6082
TCGA-OR-A5J6-01	Endocrine	TCGA-OR-A5J6-01	-9.9658	-9.9658	-6.5064	-3.3076	-2.6349	2.0776	1.3511	-9.9658	2.4857	-6.5064	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.1345	2.6302	1.1706	3.2944	-4.2934	-3.3076	-9.9658	-2.3884	3.8157	-9.9658	2.1180	-2.4659
TCGA-OR-A5KX-01	Endocrine	TCGA-OR-A5KX-01	-9.9658	-9.9658	-9.9658	-0.5332	-6.5064	1.6920	3.9185	-9.9658	3.1162	-4.2934	-0.7108	-9.9658	-5.0116	-9.9658	-9.9658	-4.0350	-1.1811	4.8973	0.8883	1.3901	-5.0116	-9.9658	-9.9658	-1.2142	7.2594	-9.9658	2.7615	-5.0116
TCGA-OR-A5L3-01	Endocrine	TCGA-OR-A5L3-01	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-0.9132	4.2196	-9.9658	1.4388	-3.8160	0.0300	-9.9658	-6.5064	-6.5064	-9.9658	-9.9658	-9.9658	2.6895	-1.8836	-0.2498	-2.6349	-6.5064	-9.9658	-3.0469	4.7913	-9.9658	-0.1187	-5.5735
TCGA-OR-A5LM-01	Endocrine	TCGA-OR-A5LM-01	-4.0350	-9.9658	-6.5064	-3.6259	-2.5479	2.0844	3.2174	-9.9658	3.5473	-4.6082	2.3394	-1.4699	-4.6082	-9.9658	-9.9658	-9.9658	-1.5522	3.5136	0.8164	1.9264	-2.5479	-4.0350	-9.9658	-1.6394	6.7056	-9.9658	1.6374	-5.0116
TCGA-OR-A5LA-01	Endocrine	TCGA-OR-A5LA-01	-4.2934	-9.9658	-9.9658	-4.0350	-3.3076	2.2931	0.9862	-9.9658	2.0430	-9.9658	-1.9942	-9.9658	-9.9658	-5.5735	-9.9658	-6.5064	-1.5951	2.8701	0.4552	2.6067	-9.9658	-9.9658	-9.9658	-2.3884	4.6525	-9.9658	0.6517	-2.8262
TCGA-P6-A5OF-01	Endocrine	TCGA-P6-A5OF-01	-9.9658	-9.9658	-9.9658	-2.3147	-1.3548	2.8819	4.8340	-9.9658	4.3965	-3.1714	2.6962	-0.5125	-2.9324	-9.9658	-5.0116	-5.5735	1.5806	4.7496	0.2277	2.5561	-3.4580	-5.5735	-5.5735	-0.9971	5.9937	-9.9658	3.6417	-3.8160
TCGA-PK-A5H8-01	Endocrine	TCGA-PK-A5H8-01	-9.9658	-9.9658	-9.9658	-3.0469	0.7058	1.2023	3.1079	-9.9658	3.1717	-2.3884	-3.8160	-9.9658	-6.5064	-9.9658	-9.9658	-9.9658	-0.0574	-0.1031	0.3685	1.8323	-2.6349	-2.3884	-9.9658	-1.1172	3.7752	-9.9658	3.1844	-9.9658
TCGA-OR-A5KT-01	Endocrine	TCGA-OR-A5KT-01	-9.9658	-9.9658	-9.9658	-9.9658	-0.8599	3.1294	3.9060	-9.9658	3.7410	-5.0116	-1.8836	-9.9658	-9.9658	-9.9658	-4.0350	-1.5522	-1.4699	3.7582	2.6114	3.8660	-5.5735	-9.9658	-6.5064	-1.9379	6.3569	-9.9658	2.1670	-1.4699
TCGA-OR-A5LB-01	Endocrine	TCGA-OR-A5LB-01	-9.9658	-9.9658	-9.9658	-3.8160	-1.1811	3.4556	4.3883	-9.9658	4.7253	-1.3183	4.4490	0.9568	-4.6082	-9.9658	-9.9658	-2.7274	-2.1140	4.3456	1.3511	2.5087	-9.9658	-9.9658	-9.9658	-1.1172	7.8859	-9.9658	2.8974	-9.9658
TCGA-OR-A5LO-01	Endocrine	TCGA-OR-A5LO-01	-9.9658	-9.9658	-4.6082	-4.0350	0.3115	2.8974	4.5060	-9.9658	3.8208	-1.3921	4.5577	2.2360	1.7489	-9.9658	-9.9658	-6.5064	-0.8863	3.5982	-0.0725	1.6512	-9.9658	-4.6082	-6.5064	-1.9379	5.7203	-9.9658	2.7401	-3.3076
TCGA-OR-A5JB-01	Endocrine	TCGA-OR-A5JB-01	-9.9658	-9.9658	-0.7834	0.9419	0.0718	3.4778	4.4162	-9.9658	2.2360	-3.6259	4.6247	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.3231	0.4967	-0.5543	3.0074	-9.9658	-9.9658	-9.9658	-3.8160	6.7983	-4.0350	2.1830	-0.4325
TCGA-OR-A5J3-01	Endocrine	TCGA-OR-A5J3-01	-9.9658	-5.0116	-5.5735	-2.1779	-1.1172	1.8762	3.8259	-9.9658	3.2915	-4.2934	1.3791	-3.8160	-2.7274	-9.9658	-5.5735	-9.9658	-1.8314	-0.2159	0.4233	1.3167	0.0854	-5.5735	-5.5735	-1.0559	5.5302	-5.5735	2.4960	-4.6082
TCGA-OU-A5PI-01	Endocrine	TCGA-OU-A5PI-01	-9.9658	-9.9658	-2.9324	-4.0350	0.7146	3.6417	5.8102	-9.9658	4.5868	-3.3076	5.7079	-9.9658	0.5859	-9.9658	-9.9658	-6.5064	-1.2481	0.2277	0.5666	2.6602	-9.9658	-5.0116	-9.9658	-2.3147	6.5073	-4.2934	3.3206	-4.0350
TCGA-OR-A5JZ-01	Endocrine	TCGA-OR-A5JZ-01	-9.9658	-9.9658	-9.9658	2.0004	-0.8599	2.6348	1.8444	-1.2142	3.0074	-1.8836	-4.0350	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	1.2576	-0.8599	1.0503	3.3549	-3.6259	-9.9658	-9.9658	-0.5543	4.7307	-9.9658	3.4517	-2.9324
TCGA-OR-A5J8-01	Endocrine	TCGA-OR-A5J8-01	-9.9658	-4.6082	-9.9658	-6.5064	5.8352	4.9294	4.8635	-9.9658	3.9079	-2.6349	3.8269	-9.9658	-2.9324	-9.9658	-9.9658	-5.5735	1.2455	4.7388	1.3167	4.9901	-1.1488	-3.6259	-9.9658	-1.5105	5.9393	-9.9658	3.0808	-0.0130
TCGA-PK-A5HB-01	Endocrine	TCGA-PK-A5HB-01	-9.9658	-9.9658	-9.9658	-6.5064	-1.4699	2.9032	3.9728	-9.9658	4.3986	-3.0469	2.1988	2.9600	-3.6259	-9.9658	-9.9658	-5.5735	-1.4305	0.9115	0.8082	3.7083	-9.9658	-0.1993	-9.9658	-1.6850	5.0202	-9.9658	2.7615	-5.5735
TCGA-OR-A5J9-01	Endocrine	TCGA-OR-A5J9-01	-9.9658	-9.9658	-6.5064	-3.0469	1.2636	3.5947	4.8714	-9.9658	4.3242	-1.4305	3.1360	-0.0725	-3.3076	-9.9658	1.5115	-9.9658	-0.0277	4.0357	2.1894	3.9534	-9.9658	-9.9658	-6.5064	-0.1187	7.0423	-6.5064	3.1971	-3.8160
TCGA-OR-A5KW-01	Endocrine	TCGA-OR-A5KW-01	-5.0116	-9.9658	-9.9658	-3.4580	-2.2447	1.1960	2.7465	-9.9658	3.7378	-4.6082	1.6374	-4.2934	-6.5064	-1.8314	-3.3076	-9.9658	-1.5951	3.9327	0.4125	1.6327	-3.3076	-4.0350	-5.5735	-0.9971	7.3990	-5.0116	2.4465	-5.5735
TCGA-OR-A5JP-01	Endocrine	TCGA-OR-A5JP-01	-9.9658	-9.9658	-9.9658	-1.6850	-0.5332	2.3106	3.4504	-9.9658	3.7028	-5.5735	2.0844	-9.9658	-3.1714	-9.9658	-0.5543	-5.5735	0.2642	0.2642	0.6145	2.2753	-9.9658	-4.6082	-6.5064	2.0183	5.4893	-9.9658	2.6418	-4.0350
TCGA-OR-A5JG-01	Endocrine	TCGA-OR-A5JG-01	-9.9658	-9.9658	-9.9658	-5.5735	-0.7346	2.4805	2.5900	-9.9658	3.3731	-5.5735	1.7744	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-2.8262	-0.4719	0.0718	2.2330	-9.9658	-6.5064	-9.9658	-1.9379	5.5100	-9.9658	2.0638	-6.5064
TCGA-OR-A5LJ-01	Endocrine	TCGA-OR-A5LJ-01	-9.9658	-9.9658	-6.5064	-5.5735	-2.1140	1.9527	5.5907	-9.9658	3.3336	-2.5479	5.6212	-4.6082	-2.6349	-9.9658	-9.9658	-4.6082	-1.4699	3.8391	0.0158	1.7229	-0.9406	-1.3183	-4.2934	2.0569	5.5236	-9.9658	2.5188	-2.3884
TCGA-OR-A5LD-01	Endocrine	TCGA-OR-A5LD-01	-9.9658	-9.9658	-9.9658	-3.3076	-4.6082	-0.5756	3.0145	-9.9658	2.3953	-5.0116	-2.3147	-5.5735	-5.0116	-9.9658	-9.9658	-6.5064	-2.4659	0.6425	-0.4719	0.2881	-5.5735	-5.5735	-9.9658	0.7233	4.3883	-9.9658	1.4652	-4.6082
TCGA-PK-A5H9-01	Endocrine	TCGA-PK-A5H9-01	-9.9658	-9.9658	-9.9658	-5.5735	1.6558	3.8095	2.1411	-4.6082	4.1756	-0.9686	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	1.7744	0.8805	2.6783	5.1285	-0.4131	-9.9658	-9.9658	-0.9686	5.5050	-9.9658	3.0481	-2.5479
TCGA-OR-A5KO-01	Endocrine	TCGA-OR-A5KO-01	-4.6082	-9.9658	-9.9658	-6.5064	-1.6850	2.2391	4.3716	-3.8160	4.2142	-3.8160	0.5069	1.0983	-3.3076	-9.9658	-9.9658	-6.5064	1.2934	5.3844	0.6145	2.2206	-9.9658	-6.5064	-9.9658	-1.1172	5.5189	-9.9658	2.5900	-5.0116
TCGA-OR-A5K0-01	Endocrine	TCGA-OR-A5K0-01	-4.6082	-9.9658	-9.9658	-9.9658	-2.5479	-0.9406	5.4006	-9.9658	3.6883	-4.2934	1.2576	-9.9658	-2.1140	-9.9658	-3.6259	-3.4580	-5.5735	4.8314	-1.3183	0.0440	-9.9658	-1.3921	-9.9658	1.7009	6.9681	-9.9658	3.0893	-4.0350
